iter	RMSE
0	0.3778961963
1	0.3665407017
2	0.3563539026
3	0.3460658448
4	0.3365710283
5	0.3282987692
6	0.3207967388
7	0.312234371
8	0.3054370706
9	0.2974750389
10	0.2903389157
11	0.2835741521
12	0.2773446738
13	0.2709629743
14	0.2651361377
15	0.2602483355
16	0.2539204059
17	0.2489283144
18	0.2440831607
19	0.2396319828
20	0.2347228845
21	0.2302601676
22	0.2259961692
23	0.2217283119
24	0.2177185452
25	0.2138412811
26	0.2098477356
27	0.2065945356
28	0.2031648211
29	0.2004016868
30	0.1973153362
31	0.1945291346
32	0.1921761253
33	0.1896782591
34	0.1872829471
35	0.1848763137
36	0.1824058909
37	0.1802886439
38	0.1781790148
39	0.1762232077
40	0.174557278
41	0.1728566211
42	0.1712498343
43	0.1694496306
44	0.1679945601
45	0.1663943039
46	0.1648632492
47	0.163668781
48	0.1623457601
49	0.1610555788
50	0.1599188115
51	0.1586404971
52	0.1575148998
53	0.1564217933
54	0.15541979
55	0.1543302628
56	0.1533335409
57	0.1524435641
58	0.1513556098
59	0.1505865266
60	0.1494504936
61	0.1486915765
62	0.1477594833
63	0.1469350037
64	0.1461646759
65	0.1453591339
66	0.1445427914
67	0.1438308599
68	0.1429632392
69	0.1421954839
70	0.14156498
71	0.1410754678
72	0.1405207166
73	0.1399092039
74	0.1392865486
75	0.1387783169
76	0.1381618791
77	0.137531248
78	0.1368454008
79	0.1361513905
80	0.1356311423
81	0.1351091144
82	0.1344328509
83	0.1338782131
84	0.1332058357
85	0.1328329946
86	0.1323231922
87	0.1316726133
88	0.1312263316
89	0.1307377348
90	0.1302946455
91	0.1299636555
92	0.1294596171
93	0.1290838821
94	0.1285996666
95	0.1281416128
96	0.1276469976
97	0.1273366205
98	0.1269800514
99	0.1266142339
100	0.1262933653
101	0.1259798286
102	0.1255764538
103	0.1250680419
104	0.1248074461
105	0.1243279591
106	0.1239962123
107	0.1236207272
108	0.1232616245
109	0.1229237937
110	0.1223879157
111	0.1220702751
112	0.1215630229
113	0.1210907974
114	0.1207614957
115	0.1204612243
116	0.1201640944
117	0.1198044443
118	0.1194617162
119	0.1192201707
120	0.1189448348
121	0.1186197598
122	0.1184042807
123	0.1181485378
124	0.1177956109
125	0.1175923074
126	0.117281546
127	0.1170984095
128	0.1167872557
129	0.1164826019
130	0.116289249
131	0.1160216704
132	0.1158596633
133	0.1156128222
134	0.1153739709
135	0.1150871861
136	0.1148586986
137	0.1146237704
138	0.114416867
139	0.1143196966
140	0.1140917565
141	0.1138723892
142	0.1136618036
143	0.1134098985
144	0.1131252298
145	0.1128717334
146	0.1126336589
147	0.1123660347
148	0.1120783878
149	0.1117850765
150	0.1116716394
151	0.1114677303
152	0.1112391386
153	0.1110856559
154	0.1108911395
155	0.1107710686
156	0.1105383179
157	0.1104110057
158	0.110175399
159	0.1099356479
160	0.1097958139
161	0.1096001287
162	0.1093755378
163	0.1091724642
164	0.1090141873
165	0.1087531975
166	0.108643051
167	0.1083690182
168	0.1082114135
169	0.1079504965
170	0.1078489147
171	0.1076792451
172	0.1074417774
173	0.1071419169
174	0.1070435792
175	0.1068680869
176	0.1066848473
177	0.1066039461
178	0.1063751676
179	0.1062430221
180	0.1060789471
181	0.1059265639
182	0.1058495558
183	0.1057792404
184	0.1057115587
185	0.1055105162
186	0.105430895
187	0.1053618417
188	0.1051279257
189	0.1049042282
190	0.1046798681
191	0.1045526523
192	0.1044892019
193	0.1043620556
194	0.104148547
195	0.1039446653
196	0.1037218714
197	0.1036072326
198	0.1034526161
199	0.1033079728
