iter	Passed	Remaining
0	158	31465
1	160	15859
2	162	10647
3	163	8024
4	165	6454
5	167	5405
6	168	4657
7	171	4111
8	173	3673
9	175	3328
10	176	3039
11	178	2797
12	180	2592
13	181	2417
14	183	2268
15	186	2139
16	187	2023
17	189	1918
18	191	1823
19	193	1742
20	195	1666
21	197	1598
22	199	1534
23	201	1480
24	204	1430
25	206	1381
26	208	1335
27	210	1292
28	212	1250
29	214	1217
30	217	1186
31	220	1155
32	222	1126
33	224	1098
34	228	1076
35	230	1051
36	233	1028
37	236	1007
38	238	984
39	240	962
40	242	941
41	245	921
42	247	901
43	248	882
44	250	864
45	253	848
46	255	831
47	257	814
48	259	798
49	261	784
50	263	769
51	265	755
52	267	742
53	270	730
54	272	718
55	274	706
56	276	694
57	278	682
58	280	671
59	282	660
60	285	649
61	287	639
62	289	629
63	291	619
64	293	610
65	295	600
66	297	591
67	299	582
68	302	574
69	304	565
70	306	556
71	308	548
72	310	540
73	312	532
74	315	525
75	317	517
76	319	510
77	321	502
78	323	495
79	325	488
80	327	481
81	330	474
82	332	468
83	334	461
84	336	455
85	338	448
86	341	443
87	343	436
88	345	430
89	347	424
90	349	419
91	351	413
92	354	407
93	356	401
94	358	396
95	360	390
96	362	384
97	365	380
98	367	374
99	370	370
100	372	364
101	374	359
102	376	354
103	378	349
104	380	344
105	382	339
106	384	334
107	387	329
108	389	325
109	392	321
110	395	316
111	398	313
112	401	308
113	403	304
114	405	299
115	407	294
116	409	290
117	411	285
118	413	281
119	416	277
120	418	273
121	420	268
122	422	264
123	424	260
124	426	256
125	429	252
126	431	248
127	433	244
128	435	239
129	438	235
130	440	231
131	442	227
132	444	223
133	447	220
134	448	216
135	451	212
136	452	208
137	455	204
138	457	200
139	459	196
140	461	192
141	463	189
142	465	185
143	467	181
144	469	178
145	471	174
146	473	170
147	476	167
148	479	163
149	481	160
150	483	156
151	485	153
152	487	149
153	489	146
154	491	142
155	494	139
156	496	136
157	498	132
158	500	129
159	502	125
160	505	122
161	508	119
162	511	116
163	513	112
164	515	109
165	517	105
166	519	102
167	521	99
168	523	95
169	525	92
170	527	89
171	529	86
172	531	82
173	534	79
174	536	76
175	538	73
176	540	70
177	542	67
178	544	63
179	546	60
180	548	57
181	550	54
182	552	51
183	554	48
184	555	45
185	558	42
186	560	38
187	562	35
188	564	32
189	566	29
190	568	26
191	570	23
192	572	20
193	575	17
194	577	14
195	579	11
196	581	8
197	582	5
198	584	2
199	586	0
